latitude,longitude,is_cloudy,reconstructed,B02,B03,B04,B05,B08,B11,B12,VV,VH
4.963707,100.769671,0,0,0.12880,0.14650,0.12480,0.17690,0.49210,0.28430,0.17640,0.33547,0.03100
4.963707,100.769761,0,0,0.12870,0.14720,0.12610,0.17480,0.49650,0.28370,0.17470,0.28318,0.02651
4.963707,100.769851,0,0,0.12900,0.14570,0.12590,0.17600,0.49400,0.28320,0.17520,0.29739,0.02854
4.963706,100.769941,0,1,0.13165,0.14511,0.12730,0.17357,0.49574,0.28287,0.17623,0.31617,0.03401
4.963706,100.770032,0,1,0.13002,0.14403,0.12609,0.17125,0.49569,0.27674,0.17285,0.23118,0.04392
4.963706,100.770122,0,0,0.12910,0.14390,0.12560,0.17150,0.45570,0.27460,0.17420,0.11953,0.04526
4.963706,100.770212,0,0,0.12880,0.14260,0.12390,0.16940,0.47330,0.27300,0.17230,0.14075,0.03901
4.963705,100.770302,0,0,0.13030,0.14160,0.12360,0.16800,0.48110,0.27230,0.17020,0.17130,0.03051
4.963705,100.770392,0,0,0.12760,0.14190,0.12300,0.16860,0.51670,0.27560,0.17030,0.19463,0.02306
4.963705,100.770482,0,0,0.12880,0.14420,0.12480,0.17000,0.52750,0.28010,0.17100,0.23562,0.01799
4.963617,100.769671,0,0,0.13100,0.14700,0.12650,0.17610,0.48960,0.28290,0.17460,0.19296,0.05603
4.963616,100.769761,0,1,0.12998,0.14661,0.12591,0.17067,0.49154,0.27639,0.17322,0.27374,0.04921
4.963616,100.769851,0,0,0.13030,0.14630,0.12600,0.17570,0.49330,0.28270,0.17430,0.39153,0.03651
4.963616,100.769941,0,1,0.13372,0.14880,0.12842,0.17520,0.48785,0.28694,0.17519,0.42571,0.03833
4.963616,100.770031,0,1,0.13055,0.14759,0.12696,0.17419,0.49762,0.28549,0.17572,0.32340,0.06333
4.963615,100.770122,0,0,0.12910,0.14540,0.12750,0.17200,0.45790,0.27450,0.17370,0.19380,0.07698
4.963615,100.770212,0,0,0.12650,0.14320,0.12420,0.17050,0.46600,0.27310,0.17210,0.14696,0.06570
4.963615,100.770302,0,1,0.13118,0.14393,0.12704,0.17129,0.48779,0.27512,0.17246,0.16639,0.03879
4.963615,100.770392,0,0,0.12960,0.14450,0.12620,0.17030,0.51060,0.27620,0.17080,0.18432,0.02127
4.963614,100.770482,0,0,0.12980,0.14740,0.12800,0.17130,0.52210,0.28080,0.17160,0.24013,0.01751
4.963526,100.769670,0,0,0.13180,0.14940,0.12690,0.17730,0.49090,0.28260,0.17390,0.26972,0.08840
4.963526,100.769761,0,0,0.13050,0.14570,0.12500,0.17420,0.49820,0.28200,0.17260,0.38919,0.08367
4.963526,100.769851,0,0,0.13000,0.14460,0.12430,0.17460,0.48600,0.28140,0.17350,0.48597,0.05929
4.963526,100.769941,0,0,0.13100,0.14620,0.12540,0.17610,0.48530,0.28080,0.17510,0.48711,0.05992
4.963525,100.770031,0,0,0.13070,0.14640,0.12740,0.17480,0.49450,0.27780,0.17420,0.38484,0.09449
4.963525,100.770121,0,0,0.12930,0.14400,0.12770,0.17260,0.47450,0.27390,0.17250,0.25481,0.10813
4.963525,100.770211,0,0,0.12670,0.14080,0.12550,0.17200,0.46740,0.27380,0.17180,0.21630,0.07757
4.963525,100.770302,0,0,0.12880,0.14220,0.12690,0.17190,0.47080,0.27480,0.17150,0.20670,0.04366
4.963524,100.770392,0,1,0.13009,0.14361,0.12766,0.17113,0.50179,0.28071,0.17292,0.21781,0.03049
4.963524,100.770482,0,0,0.13100,0.14290,0.12560,0.17190,0.51990,0.28280,0.17320,0.26529,0.02848
4.963436,100.769670,0,0,0.13190,0.15120,0.12700,0.17770,0.49090,0.28170,0.17380,0.35257,0.06930
4.963436,100.769760,0,1,0.13026,0.14766,0.12530,0.17485,0.49455,0.28177,0.17406,0.44148,0.06973
4.963435,100.769851,0,0,0.12740,0.14400,0.12350,0.17340,0.48750,0.27890,0.17290,0.43485,0.05510
4.963435,100.769941,0,0,0.12860,0.14460,0.12510,0.17380,0.49110,0.27710,0.17370,0.37350,0.06484
4.963435,100.770031,0,0,0.13000,0.14450,0.12640,0.17350,0.50580,0.27540,0.17310,0.29133,0.10780
4.963435,100.770121,0,1,0.12911,0.14434,0.12692,0.17245,0.47246,0.27650,0.17299,0.21828,0.12086
4.963434,100.770211,0,0,0.12870,0.14220,0.12540,0.17300,0.45740,0.27530,0.17240,0.20351,0.07578
4.963434,100.770301,0,0,0.12930,0.14440,0.12830,0.17310,0.46380,0.27800,0.17310,0.18903,0.03452
4.963434,100.770392,0,0,0.12950,0.14540,0.12760,0.17260,0.50530,0.28160,0.17410,0.21448,0.02500
4.963434,100.770482,0,0,0.12840,0.14280,0.12440,0.17210,0.51800,0.28560,0.17530,0.23583,0.03334
4.963345,100.769670,0,0,0.13240,0.14670,0.12950,0.17720,0.47110,0.28050,0.17430,0.36574,0.03140
4.963345,100.769760,0,0,0.13110,0.14700,0.12700,0.17400,0.47400,0.27830,0.17310,0.33032,0.03027
4.963345,100.769850,0,0,0.12890,0.14480,0.12450,0.17230,0.48180,0.27530,0.17250,0.25062,0.02685
4.963345,100.769940,0,0,0.12790,0.14270,0.12420,0.17110,0.49040,0.27200,0.17200,0.23858,0.03837
4.963344,100.770031,0,0,0.12950,0.14320,0.12460,0.17180,0.49110,0.27230,0.17210,0.27368,0.06879
4.963344,100.770121,0,0,0.13120,0.14660,0.12870,0.17320,0.46820,0.27380,0.17240,0.23803,0.08278
4.963344,100.770211,0,0,0.13270,0.14720,0.13000,0.17340,0.46500,0.27760,0.17360,0.18679,0.05880
4.963344,100.770301,0,0,0.13330,0.14570,0.13080,0.17330,0.47650,0.28200,0.17520,0.16983,0.02643
4.963343,100.770391,0,0,0.13250,0.14680,0.12690,0.17260,0.52460,0.28570,0.17650,0.18087,0.01400
4.963343,100.770481,0,0,0.13250,0.14730,0.12890,0.17180,0.50480,0.28920,0.17780,0.20395,0.02716
4.963255,100.769670,0,0,0.13380,0.15040,0.12960,0.17480,0.48380,0.27950,0.17360,0.26311,0.01284
4.963255,100.769760,0,0,0.13080,0.14610,0.12730,0.17250,0.47500,0.27700,0.17260,0.20502,0.01285
4.963254,100.769850,0,0,0.12850,0.14390,0.12560,0.17090,0.46990,0.27370,0.17180,0.12595,0.01973
4.963254,100.769940,0,0,0.12910,0.14260,0.12450,0.16950,0.46230,0.27010,0.17120,0.18415,0.02908
4.963254,100.770030,0,1,0.13165,0.14511,0.12730,0.17357,0.49194,0.28287,0.17623,0.31848,0.03415
4.963254,100.770121,0,0,0.12920,0.14330,0.12790,0.17200,0.46690,0.27440,0.17270,0.30388,0.04977
4.963254,100.770211,0,0,0.13150,0.14710,0.13130,0.17280,0.47840,0.27990,0.17460,0.19345,0.06088
4.963253,100.770301,0,0,0.13020,0.14480,0.12830,0.17330,0.51500,0.28630,0.17670,0.18157,0.03653
4.963253,100.770391,0,0,0.12860,0.14340,0.12530,0.17260,0.53650,0.29000,0.17810,0.16231,0.01696
4.963253,100.770481,0,0,0.12960,0.14550,0.12640,0.17160,0.52680,0.29280,0.17920,0.20621,0.02352
4.963165,100.769670,0,0,0.13260,0.14900,0.12630,0.17060,0.50110,0.27860,0.17200,0.27787,0.02614
4.963164,100.769760,0,0,0.13140,0.14550,0.12660,0.16970,0.49480,0.27660,0.17110,0.20292,0.03358
4.963164,100.769850,0,0,0.13160,0.14570,0.12690,0.16930,0.49060,0.27390,0.17100,0.14858,0.04657
4.963164,100.769940,0,0,0.13040,0.14280,0.12390,0.16900,0.48130,0.27100,0.17120,0.18487,0.04953
4.963164,100.770030,0,0,0.12740,0.14170,0.12300,0.16930,0.47040,0.27250,0.17200,0.28171,0.03937
4.963163,100.770120,0,0,0.12900,0.14620,0.12560,0.16980,0.48870,0.27540,0.17310,0.33431,0.04807
